id,title,scam_type,description,sample_text,indicators,risk_level,source,verified
1,Fake ABA Account Suspension,phishing,Scammer impersonates ABA Bank and claims the victim's account has been suspended to pressure them into opening a fake verification link.,"Dear customer, your ABA account has been temporarily suspended due to unusual activity. Please verify your account immediately at https://aba-secure-check.example",bank impersonation|urgency|suspicious link|account verification request,high,"synthetic_test_data","false"
2,ACLEDA Account Verification Scam,phishing,Fraudster pretends to represent ACLEDA Bank and asks the victim to confirm banking information through an unofficial website.,Your ACLEDA account requires urgent security verification. Confirm your identity now to avoid account restriction: https://acleda-verify.example,bank impersonation|urgency|credential request|external link,high,"synthetic_test_data","false"
3,Wing Money Prize Scam,prize_scam,Scammer claims the victim has won money through Wing and requests a fee or personal information before releasing the supposed prize.,"Congratulations! Your Wing account has been selected to receive $1,000. Send $20 processing fee to claim your reward today.",unexpected prize|advance fee|financial request|urgency,high,"synthetic_test_data","false"
4,Fake Smart Axiata Promotion,prize_scam,Victim receives a fake promotion claiming to be from a Cambodian telecom provider and is asked to click a suspicious link to claim a reward.,Smart congratulations! Your phone number won an iPhone and $500 cash. Claim before midnight at https://smart-reward.example,brand impersonation|unexpected reward|urgency|suspicious link,high,"synthetic_test_data","false"
5,Telegram Investment Group Scam,investment_scam,Fraudster invites victims into a Telegram investment group promising unrealistic returns from cryptocurrency or online trading.,Join our Cambodia VIP investment group. Invest $100 today and receive $500 within 24 hours. Guaranteed profit with zero risk.,guaranteed returns|unrealistic profit|crypto investment|financial request,critical,"synthetic_test_data","false"
6,Fake Online Job Recruitment,job_scam,Scammer offers an easy online job and later requests a registration or training payment from the victim.,We are hiring Cambodian students for online work. Earn $50-$100 per day from home. Pay only $15 registration fee to start immediately.,easy income|advance fee|unverified employer|urgency,high,"synthetic_test_data","false"
7,Facebook Marketplace Deposit Scam,marketplace_scam,Fake seller advertises a popular product at a low price and asks the buyer to transfer a deposit before meeting or delivery.,iPhone 15 Pro only $350. Many buyers interested. Send $50 deposit by KHQR now and I will reserve it for you.,price too low|advance deposit|pressure to pay|limited availability,high,"synthetic_test_data","false"
8,Fake Government Fine Message,government_impersonation,Scammer pretends to represent a Cambodian government authority and threatens a penalty unless the victim pays immediately.,"Official notice: You have an unpaid traffic penalty of 180,000 KHR. Pay immediately using the following KHQR to avoid additional legal action.",government impersonation|threat|urgent payment request|unofficial payment method,high,"synthetic_test_data","false"
9,Romance Emergency Money Request,romance_scam,Scammer builds an online relationship and later claims to have an emergency requiring an urgent money transfer.,I really need your help. My family member is in the hospital and I cannot access my bank account. Please send me $300 through Wing today. I will repay you tomorrow.,emotional manipulation|emergency story|money request|urgency,high,"synthetic_test_data","false"
10,Fake Parcel Delivery Fee,delivery_scam,Victim receives a message claiming that an international parcel is being held and must pay a small fee through an unofficial link.,"Cambodia Post: Your package cannot be delivered because customs payment of 8,000 KHR is required. Pay here: https://cambodia-post-fee.example",delivery impersonation|small payment request|suspicious link|urgency,medium,"synthetic_test_data","false"
101,KHQR Marketplace Deposit,marketplace_scam,A seller pressures a buyer to send a KHQR deposit before seeing an item.,"iPhone available today. Many buyers are waiting so send a KHQR deposit now and I will reserve it.",KHQR deposit|purchase pressure|unverified seller,HIGH,BanteayDigital demo verified seed,true
