code,title,description,severity,weight,match_terms,languages,recommendation,source,verified,enabled
KHQR_DEPOSIT_REQUEST,KHQR deposit pressure,A seller asks for a deposit through KHQR before a meeting or delivery.,SUSPICIOUS,25,send deposit|pay deposit|reserve it for you|KHQR now,en|km,Do not pay a deposit before independently verifying the seller and item.,BanteayDigital demo rule set,true,true
DELIVERY_FEE_REQUEST,Parcel or customs fee request,A supposed courier asks for an unexpected parcel release or customs payment.,SUSPICIOUS,22,customs fee|parcel is held|package cannot be delivered|delivery release fee,en|km,Use the courier's official website or phone number to verify a delivery.,BanteayDigital demo rule set,true,true
BANK_ACCOUNT_UPDATE_REQUEST,Bank account update lure,A message asks the recipient to update or unlock a bank account through an unsolicited contact.,SUSPICIOUS,22,update your bank account|unlock your bank account|bank security update|verify your ABA account,en|km,Open the official banking app yourself instead of using a message link.,BanteayDigital demo rule set,true,true
CRYPTO_GUARANTEED_RETURN,Guaranteed crypto return,A crypto offer promises guaranteed or risk-free returns.,SUSPICIOUS,20,guaranteed crypto profit|risk free crypto|double your USDT|daily crypto return,en|km,Do not transfer crypto based on promised returns or private messages.,BanteayDigital demo rule set,true,true
TASK_COMMISSION_RECHARGE,Task commission recharge,A task offer requires a recharge or deposit to unlock commission.,SUSPICIOUS,22,recharge to unlock|task commission|complete tasks for commission|deposit to continue task,en|km,Do not pay to unlock work tasks or earnings.,BanteayDigital demo rule set,true,true
ROMANCE_EMERGENCY_TRANSFER,Romance emergency transfer,A relationship contact uses an emergency story to request money.,SUSPICIOUS,20,emergency hospital bill|send money through Wing|cannot access my bank account|repay you tomorrow,en|km,Verify the person's identity using an independent real-time contact method.,BanteayDigital demo rule set,true,true
GOVERNMENT_FINE_PAYMENT,Government fine payment,A message claims an official fine must be paid immediately through an unofficial channel.,SUSPICIOUS,22,unpaid traffic penalty|official fine notice|pay legal penalty|avoid legal action,en|km,Check fines through the official government service rather than a message payment link.,BanteayDigital demo rule set,true,true
LOAN_PROCESSING_FEE,Loan processing fee,A loan offer asks for a processing or release fee before funds are provided.,SUSPICIOUS,20,loan processing fee|fee to release loan|approved loan fee|pay before loan release,en|km,Legitimate lenders do not require unexplained advance fees through private messages.,BanteayDigital demo rule set,true,true
REMOTE_SUPPORT_APP,Remote support app request,A sender asks the recipient to install a remote-support application.,SUSPICIOUS,25,install AnyDesk|download TeamViewer|remote support app|share your screen with support,en|km,Never install remote-control software for an unsolicited caller or message.,BanteayDigital demo rule set,true,true
SOCIAL_ACCOUNT_RECOVERY,Social account recovery lure,A message claims that a social account requires urgent recovery or verification.,CAUTION,15,recover your Facebook account|Instagram account recovery|social account will be disabled|verify your social account,en|km,Use the social platform's official app or website directly to check account status.,BanteayDigital demo rule set,true,true
